character,dialogue,episode,line
Ben,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me...",4,256
Ben,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. ",4,257
Threepio,"Sir, if you'll not be needing me, I'll close down for awhile.",4,258
Luke,"Sure, go ahead.",4,259
Luke,What is it?,4,260
Ben,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.,4,261
Ben,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire.",4,262
Luke,How did my father die?,4,263
Ben,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.",4,264
Luke,The Force?,4,265
Ben,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.",4,266
Ben,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from.",4,267
Luke,I saw part of the message he was...,4,268
Ben,I seem to have found it.,4,269
Leia,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope.",4,270
Ben,You must learn the ways of the Force if you're to come with me to Alderaan.,4,271
Luke,"Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is.",4,272
Ben,"I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help.",4,273
Luke,I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.,4,274
Ben,That's your uncle talking.,4,275
Luke,"Oh, God, my uncle.  How am I ever going to explain this?",4,276
Ben,"Learn about the Force, Luke.",4,277
Luke,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going.",4,278
Ben,"You must do what you feel is right, of course.",4,279
Tagge,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  They're more dangerous than you realize.,4,280
Motti,"Dangerous to your starfleet, Commander; not to this battle station!",4,281
Tagge,The Rebellion will continue to gain support in the Imperial Senate as long as....,4,282
Tarkin,The Imperial Senate will no longer be of any concern to us.  I've just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.,4,283
Tagge,That's impossible!  How will the Emperor maintain control without the bureaucracy?,4,284
Tarkin,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.,4,285
Tagge,"And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",4,286
Vader,The plans you refer to will soon be back in our hands.,4,287
Motti,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained.  This station is now the ultimate power in the universe.  I suggest we use it!",4,288
Vader,Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force.,4,289
